ASN,subnet,name
0,2.56.72.0/22,Koehler Internet Services UG (haftungsbeschraenkt)
0,2.56.244.0/22,Mo's Operations GmbH
0,2.57.92.0/22,Deloitte innoWake GmbH
0,2.58.32.0/22,Koehler Internet Services UG (haftungsbeschraenkt)
0,2.58.100.0/22,mawa-solutions GmbH
0,2.58.196.0/22,Mo's Operations GmbH
0,2.58.200.0/22,Mo's Operations GmbH
0,2.58.214.0/24,IP One GmbH
0,5.10.208.0/20,Peter Thiele
0,5.28.192.0/18,IPFFM - Internet Provider Frankfurt GmbH
0,5.45.148.0/22,NIVUS GmbH
0,5.61.64.0/21,Fresenius Digital Technology GmbH
0,5.63.21.0/24,IP One GmbH
0,5.100.0.0/18,DNCC Services GmbH
0,5.104.144.0/21,Stadtwerke Engen GmbH
0,5.133.112.0/24,Christian Funk trading as Christian Funk Holding GmbH & Co. KG
0,5.134.16.0/21,Glowfish GmbH & Co. KG
0,5.154.226.0/23,zollernalb-data GmbH
0,5.154.230.0/23,zollernalb-data GmbH
0,5.154.243.0/24,Breitband Innovationen Nord GmbH
0,5.180.60.0/22,Koehler Internet Services UG (haftungsbeschraenkt)
0,5.180.252.0/22,Mo's Operations GmbH
0,5.181.116.0/22,SWT trilan GmbH
0,5.182.32.0/22,Koehler Internet Services UG (haftungsbeschraenkt)
0,5.182.63.0/24,Wuerttembergische Gemeinde-Versicherung a.G.
0,5.182.152.0/22,Hoffmann GmbH Qualitaetswerkzeuge
0,5.182.176.0/22,Scheidt & Bachmann Service GmbH
0,5.182.204.0/22,Mo's Operations GmbH
0,5.183.72.0/22,akquinet health service GmbH
0,5.183.84.0/22,Celle-Uelzen Netz GmbH
0,5.252.52.0/22,Koehler Internet Services UG (haftungsbeschraenkt)
0,5.252.100.0/22,Mo's Operations GmbH
0,5.252.124.0/22,Sontheimer IT GmbH
0,5.253.8.0/22,DATAGROUP Frankfurt GmbH
0,5.253.92.0/22,DATAGROUP Frankfurt GmbH
0,5.253.236.0/22,Koehler Internet Services UG (haftungsbeschraenkt)
0,5.253.244.0/22,Mo's Operations GmbH
0,31.22.8.0/24,SC-Networks GmbH
0,31.22.9.0/24,SWT trilan GmbH
0,31.22.10.0/23,Koehler Internet Services UG (haftungsbeschraenkt)
