ASN,subnet,name
0,2.56.156.0/22,Probesys SARL
0,2.57.72.0/22,OECOM SARL
0,2.58.120.0/22,ALGONAISS SARL
0,5.42.193.0/24,Serinya Telecom SAS
0,5.134.96.0/21,Interveille Global SAS
0,5.183.16.0/22,Koesio Aquitaine SAS
0,5.183.104.0/22,Grenode
0,5.183.124.0/22,MEDIACTIVE DIGITAL SAS
0,5.253.152.0/22,Dijon Metropole
0,31.41.37.0/24,Botify SAS
0,37.1.168.0/21,Skylogic France S.A.S.
0,37.60.48.0/20,JRCG INVEST SARL
0,37.221.84.0/22,MEDIA COMMUNICATION IDF S.A.R.L.
0,37.252.200.0/21,Skylogic France S.A.S.
0,45.9.204.0/22,Rezine
0,45.11.197.0/24,INTERDATA SAS
0,45.13.44.0/22,SCE DEPARTEMENTAL INCENDIE ET SECOURS
0,45.67.240.0/22,NPL Capital SASU
0,45.67.252.0/22,MERCKEL SAS
0,45.80.76.0/22,Centre hospitalier de valence
0,45.81.60.0/22,Rezine
0,45.81.84.0/22,Techcrea Solutions SAS
0,45.81.172.0/22,Regie Intercommunale de Videocommunication du Pays Haut
0,45.81.212.0/22,INIT SYS SAS
0,45.82.208.0/22,BELIEVE SAS
0,45.84.148.0/22,AVENIR TELEMATIQUE SAS
0,45.85.32.0/22,Communaute d'Agglomeration du Pays Voironnais
0,45.85.80.0/22,AC Nexitup SASU
0,45.89.28.0/22,Cedric Tabary
0,45.89.184.0/22,Alsace Fibre SAS
0,45.92.200.0/22,ATHEO INGENIERIE SASU
0,45.92.252.0/22,Grenode
0,45.95.84.0/22,MB Partners SARL
0,45.112.192.0/22,Jules Durand--Arnaudet
0,45.130.24.0/22,AIRMOB SAS
0,45.132.0.0/24,CLOUD-IT SAS
0,45.133.204.0/22,SYNAPSY SAS
0,45.138.112.0/22,Linkt Holding SAS
0,45.143.168.0/22,O2SWITCH SAS
0,45.145.232.0/22,Sebastien Gross
0,45.147.208.0/22,oui.do/things SARL
0,45.154.240.0/22,SAFEO SAS
0,45.157.60.0/22,Serveur Express SAS
0,46.149.107.0/24,INSTITUT MAX VON LAUE-PAUL LANGEVIN
0,46.231.128.0/21,eNovance SASU
0,62.122.8.0/21,
0,62.204.62.0/24,Groupement de Cooperation Sanitaire Normand E-sante GCS
0,62.217.0.0/19,GTT Communications France SAS
0,77.72.40.0/21,Universite de Strasbourg
0,77.73.34.0/23,jLepage Conseil et Technologie SAS
0,77.74.152.0/21,Exide Technologies SAS
0,77.81.49.0/24,INIT SYS SAS
0,77.245.128.0/20,IP Telecom SARL
0,78.40.8.0/22,O2SWITCH SAS
0,78.40.112.0/22,CENTRE HOSPITALIER UNIVERSITAIRE NIMES
0,78.41.128.0/21,Organisation for Economic Co-operation and Development
0,81.30.102.0/24,Keiken Digital Solutions SAS
0,82.215.76.0/24,Calltech SAS
0,83.97.74.0/24,Serinya Telecom SAS
0,83.136.208.0/21,Key Performance Group SAS
0,83.171.208.0/22,METROPOLE NICE COTE D AZUR
0,83.172.137.0/24,INIT SYS SAS
0,83.172.142.0/23,INIT SYS SAS
0,83.172.149.0/24,INIT SYS SAS
0,83.172.152.0/24,INIT SYS SAS
0,83.172.154.0/23,INIT SYS SAS
0,83.172.156.0/23,INIT SYS SAS
0,83.172.158.0/24,INIT SYS SAS
0,83.172.166.0/23,INIT SYS SAS
0,83.172.168.0/24,INIT SYS SAS
0,83.172.170.0/23,INIT SYS SAS
0,83.172.184.0/23,INIT SYS SAS
0,83.172.187.0/24,INIT SYS SAS
0,83.172.190.0/24,INIT SYS SAS
0,83.172.191.0/24,INIT SYS SAS
0,83.175.167.0/24,
0,83.175.173.0/24,
0,84.37.0.0/16,GTT Communications France SAS
0,84.38.248.0/24,POITOU-CHARENTES TELECOM SAS
0,84.246.224.0/21,CTS Computers and Telecommunications Systems SAS
0,85.31.32.0/22,MAITREX SARL
0,85.208.180.0/22,CBlue SARL
0,85.208.192.0/22,BEL SA
0,85.209.43.0/24,Yamine Bulach
0,85.209.224.0/22,Alsatis SAS
0,85.237.96.0/19,Cogent Communications France SAS
0,87.236.35.0/24,oui.do/netsys SAS
0,87.236.72.0/21,KOESIO ILE DE FRANCE SAS
0,88.151.14.0/24,DS-CONSULTING SAS
0,88.218.96.0/22,Sysun Technologies SAS
0,89.23.127.0/24,ARA informatique SAS
0,89.28.144.0/21,Regie Televideocommunication
0,89.37.107.0/24,INIT SYS SAS
0,89.40.176.0/22,Groupe convergence.com SAS
0,89.44.110.0/23,CTS Computers and Telecommunications Systems SAS
0,89.234.128.0/18,OPDOP SCIC
0,91.132.44.0/22,ENTELA SAS
0,91.132.108.0/22,SOPRA STERIA GROUP SA
0,91.189.104.0/21,
0,91.193.42.0/24,AMANKA SARL
0,91.193.91.0/24,ma2t holding SASU
0,91.194.178.0/23,
0,91.195.206.0/23,
0,91.198.105.0/24,
0,91.198.191.0/24,
0,91.199.11.0/24,
0,91.199.233.0/24,
0,91.199.234.0/24,
0,91.199.254.0/24,
0,91.199.255.0/24,
0,91.200.177.0/24,DNCA FINANCE SCS
0,91.203.184.0/22,
0,91.207.176.0/23,
0,91.208.40.0/24,
0,91.208.214.0/24,
0,91.208.224.0/24,
0,91.208.237.0/24,
0,91.209.19.0/24,
0,91.209.44.0/24,
0,91.209.174.0/24,
0,91.209.229.0/24,
0,91.209.245.0/24,
0,91.212.21.0/24,
0,91.212.26.0/24,HaiSoft SARL
0,91.212.78.0/24,
0,91.212.128.0/24,
0,91.212.147.0/24,Megao Informatique SAS
0,91.213.41.0/24,
0,91.213.185.0/24,Koyeb SAS
0,91.213.237.0/24,BPIFRANCE SA
0,91.216.19.0/24,
0,91.216.234.0/24,
0,91.217.118.0/24,Serinya Telecom SAS
0,91.217.168.0/24,
0,91.217.234.0/24,
0,91.220.51.0/24,SCE DEPARTEMENTAL INCENDIE ET SECOURS
0,91.220.116.0/24,
0,91.220.200.0/24,
0,91.221.146.0/23,
0,91.221.254.0/23,
0,91.223.22.0/24,
0,91.223.35.0/24,
0,91.223.73.0/24,
0,91.223.84.0/24,
0,91.223.125.0/24,
0,91.223.139.0/24,
0,91.223.192.0/24,SAS Diot Siaci Technologies
0,91.224.230.0/23,KOESIO AURA INFORMATIQUE SAS
0,91.226.18.0/23,
0,91.226.98.0/24,
0,91.227.194.0/24,
0,91.230.66.0/23,
0,91.231.175.0/24,
0,91.232.242.0/24,
0,91.233.119.0/24,
0,91.234.9.0/24,
0,91.235.141.0/24,
0,91.236.25.0/24,
0,91.236.161.0/24,
0,91.237.208.0/24,Groupe convergence.com SAS
0,91.237.215.0/24,Groupe convergence.com SAS
0,91.238.1.0/24,Groupe convergence.com SAS
0,91.238.18.0/24,Groupe convergence.com SAS
0,91.238.131.0/24,
0,91.239.188.0/24,P1 Security SAS
0,91.240.32.0/24,
0,91.240.78.0/23,
0,91.240.109.0/24,
0,91.241.57.0/24,
0,91.242.162.0/24,
0,91.244.200.0/22,D.I.M.O Software SAS
0,92.39.240.0/20,CTS Computers and Telecommunications Systems SAS
0,93.95.31.0/24,AC Nexitup SASU
0,93.114.176.0/22,INIT SYS SAS
